technically organises,من الناحية الفنية ينظم
presentation of paper,عرض الورق
scientifically organised by,علميا نظمته
organised by,التي تنظمها
publisher of,ناشر
held in,الذي عقد في
has review,وقد استعراض
reviewer of paper,المراجع من الورق
author of,المؤلف من
review of paper,استعراض ورقة
review written by,بقلم
has updated version,تحديث الإصدار
paper presented as,ورقة قدمت كما
organises,ينظم
scientifically organises,علميا ينظم
lists event,قوائم الحدث
references,المراجع
technically organised by,من الناحية الفنية التي تنظمها
topic covered by,موضوع تغطيها
inverse of part of 7,عكس الجزء 7
has part,وقد الجزء
volume contains paper,المجلد يحتوي على الورق
written by,كتبه
covers topic,يغطي هذا الموضوع
event on list,الحدث على قائمة
location of,موقع
has reviewer,وقد المراجع
part of,جزء من
has event,وقد حدث
updated version of,النسخة المحدثة من
referenced in,المشار إليها في
paper in volume,ورقة في حجم
part of event,جزء من الحدث
