Evénement social,Event social
Banquet,Banquet
Atelier,Workshop
Université,University
Universitaire,University
Auteur,Author
Evénement d'inscription des participants,Event registration of the participants
Ville,City
Contribution,Contribution
Organisation,Organization
Tutoriel,Tutorial
Etudiant,Student
Participant ordinaire,Participating in regular
Article,Article
Evénement administratif,Event administrative
Administrateur,Administrator
Bénévole,Volunteer
Conférence,Conference
Membre,Member
Personne,Person
Evénement d'envoi de version finale,Event of sending the final version
Adjoint,Assistant
Événement de travail,Event work
Réception,Reception
Participant,Participant
Poster,Post
Membre de comité de programme,Member of program committee
Evénement d'évaluation des résultats,Event evaluation results
Entreprise,Company
Voyage,Trip
Article court,Short Article
Thématique,Topic
Evénement,Event
Evénement de relecture,Event replay
Scientifique,Scientific
Pays,Country
Président de comité de programme,Chairman of program committee
Evénement de soumission,Event submission
