university,جامعة
tutorial chair,البرنامج التعليمي الكرسي
individual presentation,فرد العرض
tutorial,البرنامج التعليمي
industrial paper,الصناعية الورق
negative review,استعراض سلبية
poster session,ملصق الدورة
camera ready paper,الكاميرا جاهزة الورق
web site,الموقع
pc member,pc الأعضاء
presenter,مقدم
neutral review,محايد استعراض
oc chair,oc الكرسي
submitted paper,قدمت ورقة
poster paper,المشارك ورقة
evaluated paper,تقييم ورقة
demo session,demo الدورة
proceedings publisher,إجراءات الناشر
early registered participant,أوائل المسجلين مشارك
academic institution,المؤسسة الأكاديمية
flyer,الطيارة
accepted paper,قبول الورق
review,استعراض
industrial session,الصناعية الدورة
positive review,مراجعة إيجابية
session,الدورة
conference trip,مؤتمر الرحلة
contributed talk,ساهمت الحديث
invited talk,دعت الحديث
event,الحدث
workshop session,ورشة عمل الدورة
session chair,رئيس الجلسة
paper author,ورقة المؤلف
conference proceedings,وقائع المؤتمر
demo paper,demo الورق
conference participant,مشارك في هذا المؤتمر
paper,ورقة
scientific event,الحدث العلمي
abstract,مجردة
workshop paper,ورشة عمل ورقة
multi author volume,موضوع المؤلف حجم
social event,الحدث الاجتماعي
conference,المؤتمر
proceedings,الإجراءات
workshop,ورشة عمل
regular session,الدورة العادية
invited talk abstract,دعت الحديث مجردة ، 
assigned paper,تعيين الورق
conference session,مؤتمر الدورة
track,المسار
invited speaker,ودعا المتحدث
research institute,معهد البحوث
research topic,موضوع البحث
conference paper,المؤتمر ورقة
rejected paper,رفضت الورق
organization,المنظمة
late registered participant,في وقت متأخر تسجيل المشاركين
location,الموقع
organising agency,تنظيم الوكالة
person,الشخص
workshop chair,ورشة عمل كرسي
conference banquet,المؤتمر مأدبة
regular paper,الورق العادي
oc member,oc الأعضاء
possible reviewer,ممكن المراجع
pc chair,pc كرسي تثبيت
demo chair,demo الكرسي
student,طالب
agency staff member,موظفي الوكالة
document,الوثيقة
sc member,sc الأعضاء
programme brochure,برنامج الكتيب
tutorial abstract,البرنامج التعليمي مجردة ، 
