has attendee,وقد الحضور
has country,قد البلد
attendee at,الحضور في
has topic,وقد موضوع
has name,له اسم
has related paper,وقد المتعلقة الورق
has rating,وقد تصنيف
is location of,هو موقع
has postal code,وقد الرمز البريدي
has street,وقد الشارع
is reviewed by,مراجعتها من قبل
has rating,وقد تصنيف
related to paper,ذات الورق
is provider of,هو مزود
has phone,يحتوي الهاتف
has review history,وقد مراجعة التاريخ
has start date time,وقد بدء التاريخ الوقت
is menu of,هي القائمة
has end date time,لديها تاريخ انتهاء الوقت
is topic of,هو موضوع
has country,قد البلد
is initiated by,بدأها
has city,المدينة
start date,تاريخ البدء
has biography,وقد السيرة الذاتية
has programme,لديه برنامج
registration due on,التسجيل يرجع على
related to event,المتعلقة الحدث
has submission instructions,يجب تقديم الإرشادات
has member,وقد الأعضاء
for event,الحدث
has related document,لديه ذات الصلة الوثيقة
has cost amount,قد تكلف مبلغ
has location,وقد الموقع
initiates,يبدأ
is member of,عضو
has submission deadline,وقد الموعد النهائي للتقديم
paper due on,ورقة الواجب على
has first name,أولا اسم
provided by,التي تقدمها
relates to,ويتصل
is review history of,هو استعراض تاريخ
has submission instructions,يجب تقديم الإرشادات
has call,وقد اتصل
belongs to event,ينتمي إلى الحدث
end date,تاريخ النهاية
is reviewing,استعراض
has submission deadline,وقد الموعد النهائي للتقديم
has last name,له اسم آخر
has menu,وقد القائمة
manuscript due on,مخطوطة يرجع على
has cost currency,وقد تكلفة العملة
has email,وقد البريد الإلكتروني
is written by,هو مكتوب من قبل
