hat Mehrwertsteuer,has VAT
beschäftigt sich mit,deals with
studiert an,studies 
startet am,at the start 
hat Thema,has the topic of
hat Titel,has a title
maximale Anzahl,maximum number of
gleichzeitig mit,at the same time with
hat Stadt,city
fachkundig für,expertly for
hat Anmerkung,note has 
frühzeitige Registrierung,early registration
hat Kurztitel,short title
hat Stichwörter,stitch has words
schreibt,writes
begutachtet,reviewed
hat administratives Event,has the administrative Event
hat Titel,has a title
geschrieben von,written by
hat Straße,street
hat Nachname,has last name
folgt,follows
hat Faxnummer,has Fax number
hat Vornamen,has a first name
hat Postleitzahl,has your zip code
angestellt bei,employee 
minimale Anzahl,minimum number
vorgegebene_Anzahl,vorgegebene_Anzahl
hat Zusammenfassung,has summary
hat Kontakt-Email Adresse,contact-Email address
findet statt an,to find instead of 
endet am,ends on
hat Telephonnummer,phone number 
hat Homepage,Homepage 
hat Land,has the country
AnnotationProperty,Annotation property
hat Email Adresse,e-mail address
