a pour genre,a kind of
publie,published
est invité par,is invited by
a été un comité de programme de,has been a program committee
évalue,evaluates
fait partie du volume de conférence,part of the volume of conference
est la date de début,is the start date
a pour comité d'organisation,has the organising committee
a pour éditeur,has for editor
appartiennent à un volume de la conférence,belong to a volume of the conference
a pour URL,has the URL
a été un comité d'organisation de,has been an organizing committee
a pour nom,has name
a pour président d'atelier,president workshop
est la première partie de,is the first part of
fait la présentation,presentation
a pour session,has the session
a pour expertise,has the expertise
a été un comité de,was a committee of
a pour sujet d'atelier,topic of workshop
a pour atelier,has the workshop
a pour résumé,has the summary
a pour comité de pilotage,has the steering committee
a été un comité de pilotage de,has been a steering committee
est la date de soumission de la version complète,is the date of submission of the full version
a pour contributions,for contributions
a pour volume,has the volume
a été un co-président de comité de,has been a co-chair of committee
est la date de fin,is the end date
a pour date de publication,has the date of publication
a été un membre de,has been a member of
a pour président de comité,president of committee
a été un président d'atelier de,has been a chairman for the workshop
est la date de notification de l'acceptation,is the date of notification of acceptance
a pour ISBN,has to ISBN
a pour date importante,has for important date
a été attribué à une préférence de relecture,has been attributed to a preference of replay
est la date de soumission de résumé,is the date of submission of abstract
a pour membre,has the member
appartient au relecteur,belongs to the reviewer
a pour préférence ou pour expertise,has the preference or expertise
a pour comité de programme,has the program committee
est dispensé par,is given by
a pour comité,has the committee
a pour co-président de comité,has the co-chair of committee
est une thématique d'une partie de la conférence,is a thematic part of the conference
invite le co-relecteur,invites the co-reviewer
a pour courriel,has to e-mail
a pour tutoriel,has tutorial
contribue,helps
a été un président de comité de,has been a chairman of a committee of
a pour relecteur,has a reviewer
a pour nom,has name
a pour lieu,has to take place
a pour auteur,author
a pour partie,has to part
a pour prénom,has first name
a pour thématique ou pour soumission,has for theme or for submission
a pour soumission,has to submission
AnnotationProperty,AnnotationProperty
appartient à une préférence du relecteur,belongs to a preference of the reviewer
a pour expertise de relecteur,has the expertise of reviewer
est la date de soumission de la version finale,is the date of submission of the final version
est soumis à,is subject to
a pour degré,has a degree of
