has attendee,hat der Teilnehmer
has country,hat Land
attendee at,Teilnehmer bei
has topic,hat Thema
has name,hat Namen
has related paper,hat Verwandte Papier
has rating,hat Bewertung
is location of,ist die Lage der
has postal code,hat PLZ
has street,Straße
is reviewed by,überprüft durch
has rating,hat Bewertung
related to paper,verwandt mit Papier
is provider of,ist Anbieter von
has phone,hat Telefon
has review history,hat die überprüfung der Geschichte
has start date time,hat start Datum Zeit
is menu of,ist das Menü von
has end date time,hat Ende Datum Uhrzeit
is topic of,ist Thema
has country,hat Land
is initiated by,initiiert durch die
has city,hat Stadt
start date,start Datum
has biography,hat Biographie
has programme,hat Programm
registration due on,Registrierung fällig
related to event,bezogen auf Ereignis
has submission instructions,hat die Einreichung Anweisungen
has member,hat Mitglied
for event,für die Veranstaltung
has related document,verknüpfte Dokument
has cost amount,hat Kosten Betrag
has location,Lage
initiates,initiiert
is member of,ist Mitglied der
has submission deadline,hat Einreichungsfrist
paper due on,Papier durch
has first name,hat erste Namen
provided by,zur Verfügung gestellt von
relates to,betrifft
is review history of,ist der Beitrag Geschichte der
has submission instructions,hat die Einreichung Anweisungen
has call,call
belongs to event,gehört zur Veranstaltung
end date,end-Datum
is reviewing,ist die Beurteilung von
has submission deadline,hat Einreichungsfrist
has last name,hat Nachnamen
has menu,hat Menü
manuscript due on,Manuskript fällig
has cost currency,gekostet hat Währung
has email,hat E-Mail
is written by,geschrieben von
