accrual policy,Abgrenzung Politik
accrual method,accrual-Methode
contains as header,enthält als Kopf
table of contents,Inhaltsverzeichnis
notification date,Datum der Notifizierung
has part,hat Teil
date submitted,Datum eingereicht
has format,hat format
has appendix,hat Anhang
registered as,eingetragen
description,Beschreibung
valid,gültig
type,geben
language,Sprache
access rights,Zugriffsrechte
contributor,Beitrag
format,format
rights,Rechte
has track,hat track
issued,ausgestellt
takes award,dauert award
is required by,erforderlich ist
audience,Publikum
date,Datum
has program schedual,hat das Programm schedual
has registration type,hat die Registrierung geben
realization of,Realisierung von
is contained by,enthalten ist
identifier,Bezeichner
conforms to,entspricht
abstract,abstract
creator,Ersteller
modified,geändert
has keynote,hat keynote
source,Quelle
alternative,alternative
identifier,Bezeichner
accrual periodicity,Abgrenzung Periodizität
coverage,Abdeckung
participates as,nimmt als
medium,medium
event website,event-website
publisher,Verlag
offers best paper award,bietet best-paper-award
keywords,keywords
language,Sprache
access rights,Zugriffsrechte
format,format
bibliographic citation,bibliographic citation
has important dates,wichtige Termine
cite,cite
participates in,beteiligt sich an
sponsorship type,Sponsoring geben
has affiliation,hat die Zugehörigkeit
subject,Thema
has registration,hat die Registrierung
date submitted,Datum eingereicht
extent,soweit
acceptance rate,Akzeptanz
submission web page,Unterwerfung web-Seite
has program committee member,hat das Programm-Komitee-Mitglied
realization,Realisierung
creator,Ersteller
is version of,ist die version von
education level,Bildung Ebene
spatial,räumliche
part,Teil
contains,enthält
mediator,mediator
keynote in,keynote in
requires,erfordert
has social event,hat social event
spatial,räumliche
has sponsor,hat sponsor
issued,ausgestellt
available,verfügbar
belongs to proceedings,gehört zum Verfahren
has publisher,hat Herausgeber
is publisher of,ist Herausgeber von
type,geben
embodiment,Verkörperung
part of,Teil
held in country,statt in Land
has version,version
medium,medium
provides travel information,bietet Reise-Informationen
replaces,ersetzt
publisher,Verlag
submission deadline,Stichtag für die Einreichung von
belongs to series,gehört zur Serie
has twitter,hat twitter
rights,Rechte
date copyrighted,Datum urheberrechtlich geschützt
instructional method,Lehr-Methode
is format of,ist das format der
is rule enabled,ist die Regel aktiviert
title,Titel
has chair,hat Stuhl
has submission guidelines,hat Richtlinien für die Einreichung
relation,Bezug
temporal,zeitliche
date accepted,Datum akzeptiert
available,verfügbar
temporal,zeitliche
offers award,bietet award
is referenced by,verwiesen wird
license,Lizenz
contributor,Beitrag
is track of,ist der track von
abstract deadline,abstract-deadline
valid,gültig
references,Referenzen
has duration,hat Dauer
table of contents,Inhaltsverzeichnis
is sponsor of,ist sponsor des
extent,soweit
abstract,abstract
modified,geändert
colocated with,verbunden mit
coverage,Abdeckung
held in city,statt in der Stadt
accepted papers,akzeptierte Beiträge
has flyer,hat flyer
note,Hinweis
has temporal duration,hat die zeitliche Dauer
bibliographic citation,bibliographic citation
conforms to,entspricht
created,erstellt
date copyrighted,Datum urheberrechtlich geschützt
has proceedings,hat sich Verfahren
rights holder,Inhaber der Rechte ist
has event,hat event
is part of,ist Teil der
is replaced by,wird ersetzt durch
provenance,Provenienz
submitted papers,eingereichte Beiträge
alternative,alternative
date accepted,Datum akzeptiert
