ist entschieden worden als,has been decided as
hat akzeptiert,accepted
Papierausdruck des Mailing-Manifests gedruckt von,A paper printout of the Mailing Manifesto of printed 
ist zugeordnet worden,has been assigned to 
zugewiesen von Gutachter,assigned by reviewer
akzeptiert Hardcopy-Einsendungen,Hardcopy accepted submissions
hat Beitrag mitverfasst,contribution co-authored has 
hat Gegenstandsbereich,has the subject area of
zugewiesen zu,assigned to 
hat ID,ID 
steht in Interessen-Konflikt mit Beitrag,is in conflict of interests with contribution
zugewiesen von Administrator,assigned by Administrator
abgeglichen von,matched by
Teilnehmer von,Participants of
hat abgeglichen,has matched
ist Mitglied des Programm-Komitees,is a member of the program Committee
Beitragszuordnung abgeschlossen von,Contribution allocation of completed 
geschrieben von,written by
akzeptiert von,accepted by
hat zugewiesen,assigned to
Kriterien zu Gutachten eingefügt von,Criteria to opinions from inserted 
hat die Gebotsphase gestartet,has started the bid phase 
bestimme maximale Anzahl an zugewiesenen Beiträgen,determine maximum number of allocated posts
hat Gutachten geschrieben,has the report written
hat Mitglied,member
gelesen von Meta-Gutachter,read the Meta-reviewer
hat Namen,has name
hat die Zeit des Begutachtens beendet,has finished the time of the Begutachtens 
druckt Papierausdruck des Mailing-Manifests,paper prints the expression of Mailing Manifest
Gutachten pro Beitrag,Opinion per post
hat Papier abgelehnt,has a paper rejected
hat die Zuordnung der Beiträge abgeschlossen,has completed the allocation of the contributions 
hat zugewiesen,assigned to
hat Webseite an URL,has a website at URL
hat Logo an URL,has the Logo at URL
hat Email,has Email
Gebotsphase gestartet von,Bid phase started 
mitverfasst von,co-written by
hat die Beitrags-Zuordnungssoftware ausgeführt,of the contribution mapping software 
hat hinzugefügt,added
hat Titel,has a title
maximale Anzahl an zugewiesenen Beiträgen,maximum number of allocated posts
Details eingefügt von,Details of the inserted 
hat Papier gelesen,has paper read
gelesen von Gutachter,read by reviewer
hinzugefügt von,added by
virtuelles Treffen veranlasst von,virtual Meeting of causes 
abgewiesen von,dismissed from
hat Teilnehmer,has participants
hat Kriterien zu Gutachten eingefügt,has criteria added to the report 
hat Datum,date 
hat virtuelles Treffen veranlasst,has virtual Meeting initiated
hat Details eingefügt in Bezug auf,Details to be inserted in respect of 
hat Beitrag eingesendet,has contribution sent
AnnotationProperty,Annotation property
hat Beitrag geschrieben,has written post 
Beitragszuordnungs-Software ausgeführt von,Contribution mapping Software from running 
hat Interessenskonflikt in Bezug auf,has a conflict of interest in respect of 
geschrieben von,written by
hat Gebot erhalten,has received a bid 
