a pour courriel,has e-mail
a pour pays,has country
est écrit par,is written by
se termine en,ends in
a pour ville,has city
est employé par,is employed by
a pour page Web,has the Web page
résumé,summary
a pour titre,has a title
suit,follows
a pour thématique,has topic
choix min,choice min
a pour téléphone,has phone
choix par défaut,default choice
a pour titre,has a title
a pour rue,has street
écrit,written
a pour titre court,for short title
a pour mot clé,has the keyword
lieu,place
a pour TVA,has VAT
a pour nom,has name
a pour prénom,has first name
courriel de contact,e-mail contact
remarque,note
inscription anticipée,early registration
étudie à,studied at
est expert sur,is an expert on
évalue,evaluates
a pour code postal,has the postal code
choix max,choice max
a pour événement administratif,has the admin event
a pour numéro de fax,a for fax number
commence en,starts in
AnnotationProperty,AnnotationProperty
traite de,deals
se déroule en parallèle de,running in parallel to
