ملصق,Poster
بحث,Search
المدينة,The city
مساهمة,The contribution of
متطوع في المؤتمر,Volunteer at the conference
بحث قصير,Search short
المشرف,The supervisor
مشارك,Participant
حدث الارسال,Event transmitter
ورشة عمل,Workshop
مأدبة,Banquet
حدث نتائج المراجعة,Happened the results of the audit
المساعد,Plugin
عضو في اللجنة العلمية,Member of the scientific committee
عامل العلم,Science factor
الشركة,The company
طالب,Student
الحدث,Event
شخص مشارك مع المؤتمر,Somebody involved with the conference
شخص,Someone
حدث تسجيل الحدث المشاركين,Event registration of event participants
الجامعة,University
استقبال,Reception
طالب مشارك في المؤتمر,Student participation in the conference
بلد,Country
مؤتمر,conference
الحدث الإداري,Event management
البرنامج التعليمي,Tutorial
الحدث الاجتماعي,Social event
لاشيئ,Nothing
حدث إرسال نسخة بعد اجراء التعديل جاهزة للتصوير,Happened to send a copy after the amendment is ready for a change
رحلة,trip
منظمة,Organization
الموضوع,Topic
الكاتب,Author
مشارك منتظم في المؤتمر,A regular participant in the conference
حدث المراجعة,Event review
رئيس اللجنة العلمية,Chair of the Scientific Committee
حدث علمي,Scientific event
