Décision,Decision
Président,President
Rejet,Rejection
Auteur,Author
Résumé d'article,Summary of article
Proposition de relecture,Proposal for a replay
Relecteur externe,Reviewer external
Article,Article
Administrateur,Administrator
Comité de programme,Program committee
Conférence,Conference
Président adjoint de conférence,Deputy chair of conference
Personne,Person
Auteur qui n'est pas relecteur,Author who is not a reviewer
Acceptation,Acceptance
Préférence,Preference
Relecteur,Reviewer
Président de conférence,Conference chair
Membre de comité de programme,Member of program committee
Rapport d'examen,Review report
Méta-rapport d'examen,Meta-review report
Version complète d'article,Full Version of article
Thématique,Thematic
Utilisateur,User
Membre de conférence,Member of conference
Président de comité de programme,Chairman of program committee
Méta-relecteur,Meta-reviewer
Co-auteur,Co-author
Document,Document
