تم دفعه مع,Was paid with
تم انعقاده بعد,Was held after the
تم إرساله بعد,It was sent after
تم اعطاءه من قبل,Been giving him before.
تم تجهيزه من اجل,Equipped for
تم توقيعه من قبل,Signed by the
تم تصميمه من اجل,It is designed for
تم ارتباطه مع,It was his association with
يتعين القيام به حتى,To do so
تم إرساله من قبل,It was sent by
يرسل,Send
لديه قدر من,He has as much of
(يشغل (يعيش، يقيم,(Operate (live, reside
تم استخدامه من قبل,It is used by
يحصل,Gets
تم انعقاده قبل,Was held by the
تم انعقاده في,Was held in
يتحدث في وقت أو في مكان,Moving in time or in place
تم بتاريخ,Been on
تم دفعه من قبل,Was paid by
تم صنعه من,Is it made of
تم زيارته من قبل,Was visited by
يدفع,Pay
تم دفعه من اجل,Been paid for
تم كتابته من قبل,Was written by
يمر عبر,Passes through the
موجود في الوقت,Exist at the time
تم دفعه في,He was pushed in
تستعد / يعد,Use / is
يوقع,Stop
موجود في زمان أو مكان,Present in time or place
يقع محليا في,Located locally in
تم اعطاءه ل/ من اجل,Been giving him for the/ for
تم حاجة من اجل,The need for
تم إرساله قبل,It was sent by
يحتاج,Needs
يكتب,Write
يعطي,Gives
تم تشغيله من قبل,It is run by the
تم استخدامه من اجل,Been using it for
AnnotationProperty,AnnotationProperty
تم اعداده من قبل,Prepared by
