obtient,gets
est organisé par,is organized by
organise,organizes
décerne,awards
est présenté par,is presented by
est décerné par,is given by
paye,pay
monnaie,currency
début de la conférence,start of the conference
nationalité,nationality
démarche,approach
fin de la conférence,end of the conference
présente,this
nom du sponsor,sponsor's name
nom de la conférence,name of the conference
soumet,submit
peut rester sur,can stay on
est démarché par,is managed by
définit,sets
est soumis jusqu'à,is subjected to
décerne,awards
ville de la conférence,city of the conference
date,date
est défini par,is defined by
est payé par,is paid by
courriel,e-mail
nom,name
AnnotationProperty,AnnotationProperty
notification jusqu'à,notification up to
