État d'un présentateur,State of a presenter
Taxe,Tax
Orateur pendant une journée,Speaker for a day
État d'un sponsor,State a sponsor
Cocktail de réception,Cocktail reception
Orateur d'un tutoriel,Speaker from a tutorial
Bureau principal,Main office
Frais d'inscription de non membre,Registration fee non-member
Manuscrit initial,Original manuscript
Chambre d'hôtel,Hotel room
Frais d'inscription d'auteur participant pour les actes sur support numérique,Registration fee author participant for the acts on a digital medium
Non membre d'IASTED,Non-member of IASTED
Présentation,Presentation
Frais d'inscription d'auteur participant pour les actes au format papier,Registration fee author participant acts in paper format
Session,Session
Maison de présentateur,House presenter
Formulaire de réservation de chambre d'hôtel,Form of hotel room booking
Tutoriel,Tutorial
Visite guidée d'une journée complète,Guided visit full-day
Formulaire,Form
Salle de session,Session room
Projecteur LCD,LCD projector
Chambre d'hôtel simple,Single room hotel
Frais d'inscription,Registration fee
Sponsor,Sponsor
Date limite de notification d'acceptation,Deadline for notification of acceptance
Présentateur étudiant,Presenter student
Modélisation,Modeling
Orateur,Speaker
Voiture,Car
Auteur,Author
Bâtiment de conférence,Conference building
Travailleur non orateur,Worker non-speaker
Guide d'excursion de conférence,Tour Guide conference
Ville,City
Lettre d'invitation,Letter of invitation
Salle de conférence,Conference room
Restaurant d'une conférence,Restaurant conference
Hôtel d'une conférence,Hotel conference
Formulaire d'information sur un auteur,Information form author
Départ,Starting
Refus de manuscrit,Refusal of the manuscript
Publication,Publication
Manuscrit final,Final manuscript
Présentateur,Presenter
Transparent,Transparent
Acceptation de manuscrit,Acceptance of manuscript
Date limite de soumission,Submission deadline
Orateur de conférence plénière,Speaker of plenary lecture
Chèque,Check
Date limite,Deadline
Taxi,Taxi
Réception de manuscrit,Receipt of manuscript
Jour de voyage,Day of travel
État,Country
Conférence,Conference
Introduction,Introduction
Introduction d'un orateur,Introduction of a speaker
Personne,Person
Inscription,Registration
Carte,Map
Non orateur,Non-speaker
Date limite de dépôt de version finale de manuscrit,Deadline for submission of final version of manuscript
Conférence plénière,Conference plenary
Jour de conférence,Day of the conference
État d'une conférence,State conference
Lecteur de cassettes vidéo,Cassette player video
Fuseau horaire,Time zone
Sponsorisation,Sponsorship
Brève introduction de président de session,Brief introduction of session chairperson
Présentation d'accueil,Presentation home
Maison de société de sponsor,Home company sponsor
Activité technique,Technical activity
Navette,Shuttle
Activité,Activity
Argent,Money
Frais d'inscription d'auteur,Registration fees author
Activité ayant lieu pendant une conférence,Activity that occurs during a conference
Actes en format papier,Acts in paper format
Université de présentateur,University of presenter
Membre d'IASTED,Member of IASTED
Présentation d'orateur,Presentation of speaker
Dîner de gala,Gala dinner
Carte de crédit,Credit card
Président de session,Chairman of session
Aéroport de conférence,Airport conference
Présentation vidéo,Video presentation
Location,Rental
Équipement audiovisuel,Audio-visual equipment
Frais,Costs
Présentation power point,Power point presentation
Formulaire d'inscription,Registration form
Monnaie,Currency
Activité ayant lieu après une conférence,Activity which takes place after a conference
Pause café,Coffee break
Date limite d'inscription,Registration deadline
Bâtiment,Building
Pourboire,Tip
Minibus,Minibus
Frais de voyage supplémentaire,Travel expenses additional
Lieu,Place
Simulation,Simulation
Ville de sponsor,City sponsor
Recherche,Search
Liste de diffusion,Mailing list
Ville de présentateur,City of presenter
Relecteur,Reviewer
Taxe de départ,Departure tax
Véhicule de transport,Transport vehicle
Auteur ayant les actes au format papier,Author who acts in paper format
Rapport d'examen,Review report
Activité ayant lieu avant une conférence,Activity that occurs before a conference
Temps,Time
Comité technique,Technical committee
Représentant,Representative
Document de paiement,Payment Document
Ville d'excursion,City tour
Frais d'inscription d'étudiant,Registration fees student
Maître d'hôtel,Master hotel
Auditeur,Auditor
Présentateur salarié,Presenter employee
Ville de conférence,Conference city
Visa,Visa
Taxe sur la valeur ajoutée,Value added tax
Conférence d'une journée,One-day conference
Soumission,Submission
Virement bancaire,Bank transfer
Chambre d'hôtel double,Double hotel room
Auteur ayant les actes sur support numérique,Author who acts on digital media
Actes en support numérique,Acts in digital media
Date limite de réservation d'hôtel,Deadline for hotel reservation
Programme social,Social program
Rétroprojecteur,Overhead projector
Ordinateur,Computer
Étudiant non orateur,Student non-speaker
Registre de participation,Registry participation
Document,Document
Frais d'hôtel,Hotel costs
Item,Item
Frais d'inscription de membre,Registration fees member
