ملصق,Poster
مساهمة خطية,Written contribution
متحدث المدعو,Speaker invited
دعوة للمشاركة,Invitation to participate
لاشيء,Nothing
المنظمة,The region
معلومات للمشاركين,Information for participants
مسار المؤتمر,Space conference
جزء من المؤتمر,Part of the conference
المشارك في المؤتمر,Participating in the conference
اللجنة العلمية,Scientific committee
وثيقة المؤتمر,Document of the conference
افضلية المراجع,Advantage references
ورشة عمل,Workshop
اللجنة المنظمة,The organizing committee
مساهمة مرفوضة,Contribution rejected
مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر,The applicant conference, which is paid in advance conference fees
العرض التقديمي,The presentation
منظم,Organization
عضو  في اللجنة,Member of the committee
اللجنة,The committee
رئيس,President
المؤتمر,The conference
مساهمة المؤتمر,Contribution to the conference
مساهمة مرسلة,Contribution sent
شبكة الإنترنت العنكبوتية للمؤتمر,Internet Web Conference
مساهمة مقبولة,Contribution acceptable
دعت الحديث,Invited talk
الرئيس المشترك,Co-chair
شخص,Someone
سلسله المؤتمر,Series conference
إعلان المؤتمر,The declaration of the conference
البرنامج التعليمي,Tutorial
الناشر,Publisher
اللجنة التوجيهية,The steering committee
طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر,Request of the sponsors of the conference who paid the conference fee
البحث,Search
مساهمة منتظمة,Regular contribution
المؤلف الأول للمساهمة,The first author to contribute
الدعوة لتقديم الأبحاث,Call for research
مراجعة,Review
طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر,Request of the sponsors of the conference, who recently paid conference fees
محضر المؤتمر,The minutes of the conference
المراجع,Reviewer
الكاتب المشرك في المساهمة,Author the you in contributing
مشارك ايجابي في المؤتمر,Positive vibes at the conference
طلب مقدم للمؤتمر,Request of the sponsors of the conference
رسوم من اجل المؤتمر,Fees for the conference
الملخص,Summary
مشارك السلبي في المؤتمر,Behavior problems in the conference
مساهمة للمؤتمر,Contribution to the conference
الموضوع,Topic
مساهمة مراجعة,Contribution to review
مقدم الطلب مسجل,The applicant is registered
رئيس مسار ورشة العمل,The head space of the workshop
تاريخ مهم,Important date
كاتب المساهمة,Contributing author
نسخة جاهزة للتصوير مساهمة,Version ready for the contribution
ملخص موسع,Summary an extended
خبرة المراجع,Experience references
