Partie de conférence,Part of the conference
Président,President
Atelier,Workshop
Candidat enregistré,Candidate registered
Editeur,Editor
Résumé étendu,Summary extended
Organisateur,Organizer
Personne qui a payé les frais d'inscription tardivement,Person who has paid the registration fee late
Présentation,Presentation
Session,Session
Contribution rejetée,Contribution rejected
Co-auteur de contribution,Co-author of contribution
Participant de conférence,Participant of conference
Comité d'organisation,Organizing committee
Contribution écrite,Written Contribution
Tutoriel,Tutorial
Version finale de contribution,Final Version of contribution
Président de session d'atelier,Chair of workshop session
Membre de comité,A member of the committee
Personne qui a payé les frais d'inscription en avance,Person who has paid the registration fee in advance
Article,Article
Appel à communication,Call for papers
Participant passif de conférence,Passive Participant of conference
Document de conférence,Conference paper
Conférencier invité,Invited speaker
Information aux participants,Information to the participants
Frais d'inscription,Registration fee
Conférence,Conference
Contribution acceptée,Contribution accepted
Comité de programme,Program committee
Personne,Person
Comité de pilotage,Steering committee
Annonce de conférence,Conference announcement
Contribution relue,Contribution reviewed
Conférence www,Www conference
Relecteur,Reviewer
Personne qui a demandé à participer à une conférence,Person who has asked to participate in a conference
Poster,Post
Co-président,Co-president
Contribution de conférence,Contribution to conference
Rapport d'examen,Review report
Résumé,Abstract
Appel à participation,Call for participation
Date importante,Important Date
Contribution soumise,Contribution submitted
Participant actif de conférence,Active Participant of conference
Premier auteur de contribution,First author contribution
Expertise de relecteur,Expertise of reviewer
Présentation de conférencier invité,Presentation of guest speaker
Volume de conférence,Volume of conference
Thématique,Topic
Comité,Committee
Préférence de relecteur,Preference of reviewer
Actes de conférence,Conference proceedings
Contributeur de conférence,Contributor conference
Auteur ordinaire,Author ordinary
Personne qui a payé les frais d'inscription,Person who has paid the registration fee
Contribution ordinaire,Regular Contribution
