رسوم التسجيل للعضو,Registration fee member
المدينة,The city
رسم لرحلة اضافية,Draw the trip extra
مطعم المؤتمر,Restaurant conference
ضريبة المغادرة,Departure tax
النشاط الاجتماعي,Social activity
الفيديوعرض التقديمي,Find presentation
بيت المقدم,The
الكاتب الذي سيستلم محضر الابحاث على شكل قرص,A writer who will record research on the tablet form
فندق المقدم,A decision
الراعي,Sponsor
المخطوطة الأولية,Manuscript initial
الموعد النهائي لتقديم النصي الكاميرا جاهزة,The deadline for submitting the script camera ready
النشاط البحثي,Research activity
نشاط تأجير سيارة,Active car hire
رسالة الدعوة,The invitation letter
نشاط رفض مخطوطة,Active rejection of the manuscript
الحاسوب,Computer
المعدات السمعية والبصرية,Audio-visual equipment
حافلات مكوكية,Shuttle bus
غيض,The tip
نشاط استلام مخطوطة,The activity of the receipt of the manuscript
الموعد النهائي لحجز الفنادق,The deadline to book hotels
محاضر,Boxed
المقدم الذي يقدم فقط في يوم واحد,Lender who offers just in one day
كوكتيل الاستقبال,Cocktail reception
عضو في IASTED,Member of the IASTED
المدينة حيث ينعقد المؤتمر,The city where the conference is held
غرفة الجلسة,Meeting room
غير المتحدث,Non-speaker
اللجنة التقنية,The technical committee
نشاط يجري قبل مؤتمر,Activity conducted by the conference of the
عرض باور بوينت,PowerPoint presentation
محاضرة العامة,Public lecture
اليوم المسندة من أجل رحلة,The day assigned for the trip
فندق استمارة التسجيل,Hotel registration form
شاحنة صغيرة,A small truck
نشاط يحدث خلال المؤتمر,The activity happening during the conference
مطارالمؤتمر,Rest
ليس عضوا في IASTED,Not a member of the IASTED
جهاز عرض الإسقاط الضوئي شاشات الكريستال السائل,Projector projection LCD
سيارات الأجرة,Taxi
رسوم التسجيل من غير الكاتب,The registration fee of non-author
آخر موعد,The last date
نشاط يجري بعد مؤتمر,Activity conducted after the conference
سيارة,Car
فندق المؤتمر,Hotel conference
كلمة ترحيبية,Welcome speech
متنزه المؤتمر,Park conference
استمارة التسجيل المؤتمر,Registration form conference
آخر موعد للارسال,Last date for dispatch
المؤلف الذي سيستلم إجراءات وكتاب,The author who will receive the proceedings book
وثيقة الدفع,Payment document
استمارة,Form
العملة,Currency
جامعة المقدم,The university headquarters
جلسة,Session
استمارة المعلومات الكاتب,Information Form author
الشفافية العامة,Public transparency
العرض التقديمي,The presentation
سجل الحضور,Attendance record
دولة المقدم,The state of destination
مؤتمر في يوم واحد,Conference in one day.
غرفة الفندق,Hotel room
المدينة حيث يأتي منها المقدم,The city where comes from the lender
مقدمة,Introduction
نشاط,Activity
المتحدث إعطاء محاضرة أمام الكنيست,The speaker give a lecture in front of the Knesset
جهاز عرض ضوئي,Overhead projector
قائمة البريد الالكتروني,The list of e-mail
المكتب الرئيسي,The main office
المدينة حيث يأتي منها الراعي,The city where comes from the sponsor
التسجيل,Shopping
مغادرة,Adventure
شخص,Someone
استراحة القهوة,Coffee break
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر مقابل استلام محضر الابحاث على شكل قرص,The registration fee is paid by the present writer for the receipt of the minutes of sailing disc-shaped
البرنامج التعليمي,Tutorial
الساعة,Previous
الارسال,Transmitter
رسوم التسجيل لغير عضو,Registration fee for non-member
المستمع,The listener
المراجع,Reviewer
مراجعة,Review
لاشيئ,Nothing
طالب  غير متحدث,Student Non-speaker
منطقة زمنية,Time zone
نشر,Posted
رسوم,Fee
(مندوب (شخص يسجيل ويزور المؤتمر,(Delegate (person record and the conference
بطاقة الائتمان,Credit card
محاضرة ملقاة من قبل متحدث,Lecture lying by the speaker
كتابر المحضر,Write the editor
الضرائب,Tax
تأشيرة,Visa
مكان,Place
قرص المتابعة,Tablet follow-up
المدينة التي هي مكان من أجل الرحلة,A city that is a place for the trip.
الدولة,country
مركبة النقل,Transport vehicle
المتحدث,Speaker
العامل الغير المتحدث,The working gas spokesman
غرف الفندق المزدوجة,Hotel rooms double
المتحدث الذي يقدم البرنامج التعليمي,The speaker who offers tutorial
محاضرة,Lecture
جولة ليوم كامل,Full day tour
الدولة الراعي,State sponsor
مبلغ من المال,The amount of money
البند (بشكل عام),Item (in general)
قاعة المؤتمر,The conference hall
المبنى,The building
رسوم فندق,Fee hotel
المخطوط النهائي,The final manuscript
طالب المحاضر,Student records
غرف الفندق المفردة,The hotel rooms useful
رسوم التسجيل للطالب,The registration fee for the student
رسوم التسجيل,Registration fee
بطاقة,Card
أي نوع من وثيقة,Any type of document
مقدمة المتحدث,Introduction of Speaker
الدولة حيث ينعقد المؤتمر,The state where the conference is held
الرعاية,Care
تحويل مصرفي,Bank transfer
آخر موعد للتسجيل,Registration deadline
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر من اجل استلام محضر الابحاث على شكل كتاب,Registration fee paid by the author for the receipt of the minutes of the research in book form
نشاط المحاكاة,Activity simulation
مأدبة عشاء,Dinner
مشغل شريط فيديو,Player video
مقدمة موجزة لرئيس الجلسة,A brief introduction to the chairman of the meeting
منزل شركة كونها الراعي,Home company being a sponsor
مبنى المؤتمرات,The conference building
قيمة المضافة للضرائب,Value Added Tax
الصك,Instruments
الكاتب,Author
نشاط النمذجة,Activity modeling
آخر موعد لإخطار القبول,The deadline for notification of acceptance
أيام المؤتمر,The days of the conference
النشاط الفني,Artistic activity
العامل المحاضر,Public records
نشاط القبول مخطوطة,The activity of acceptance of manuscript
