hat Preis,price 
paid zahlt Registrierungsbeitrag,paid pays registration fee
Registrierungsbeitrags ist in Währung,Registration contribution is in currency
Award erhalten von,Award received from
Datum des letzten Tages der Konferenz ist,Date of the last day of the conference is
hat Award erhalten von,has Award will receive
hat Sponsorenname,sponsors name 
Sponsoren wurden aufgerufen von,Sponsors were called 
Registrierungsbeitrag gezahlt von,Registration fee paid in 
hat E-Mailadresse,E-mail address 
Konferenz organisiert von,Conference organized 
hat Award,has Award
wurde präsentiert von,was presented by
hat Namen,has name
präsentiert Dokumente,presented documents
Deadline eingerichtet für,Deadline for set up 
Beitrag wurde eingereicht von,Contribution was submitted to 
Konferenz findet in folgender Stadt statt,The conference will take place in the city 
Aufruf von Sponsoren,Call to sponsors
hat Name der Konferenz,Name of the conference has 
hat Nationalität,has nationality
organisiert Konferenz,organized conference
Deadline für Authorenmitteilung,Deadline for author notification
ist datiert auf den,is dated on the
bleibt in,remains in
AnnotationProperty,Annotation property
Datum des ersten Tages der Konferenz ist,Date of the first day of the conference is
Deadline festgelegt,Deadline set
hat Deadline für Einreichungen,has the Deadline for submissions
