review,استعراض
conference session,مؤتمر الدورة
conference dinner,مؤتمر العشاء
review form,استعراض شكل
single level conference,مستوى واحد في المؤتمر
call for reviews,دعوة استعراض
welcome talk,نرحب الحديث
review question,مراجعة السؤال
contact information,معلومات الاتصال
rejected paper,رفضت الورق
country,البلد
conference venue place,مكان انعقاد المؤتمر مكان
week reject rating,الأسبوع رفض التقييم
non academic event,غير الأكاديمية الحدث
conference event,مؤتمر الحدث
numerical review question,العددية مراجعة السؤال
government organization,الحكومة المنظمة
signal processing topic,معالجة الإشارات الموضوع
academia organization,الأكاديمية المنظمة
meal menu,وجبة القائمة
call,الاتصال
personal history,التاريخ الشخصي
computer networks measurements topic,شبكات الكمبيوتر القياسات الموضوع
personal publication history,الشخصية تاريخ النشر
attendee,الحضور
sponsorship,رعاية
presenter,مقدم
satellite and space communications topic,الأقمار الصناعية والاتصالات الفضائية الموضوع
two level conference,اثنين من مستوى المؤتمر
microelectronics topic,الدقيقة الموضوع
reject rating,رفض التقييم
powerline transmission topic,باورلاين نقل الموضوع
communications topic,الاتصالات الموضوع
travel grant,منحة السفر
withdrawn paper,سحب ورقة
computer networks management topic,شبكات الحاسوب في إدارة الموضوع
wireless communications topic,الاتصالات اللاسلكية الموضوع
call for manuscripts,دعوة المخطوطات
talk event,التحدث الحدث
operating topicsystems,التشغيل topicsystems
active paper,نشط الورق
multimedia topic,الوسائط المتعددة الموضوع
paper,ورقة
meal break,وجبة كسر
communication theory topic,نظرية الاتصال الموضوع
dining place,مكان لتناول الطعام
call for papers,دعوة لتقديم أوراق
published paper,نشرت ورقة
free time break,وقت حر كسر
computer networks enterprise topic,شبكات الكمبيوتر للشركات الموضوع
paper presentation,ورقة العرض
programme,برنامج
parallel and distributed computing topic,الحوسبة الموزعة والمتوازية الموضوع
excursion,رحلة
conference,المؤتمر
ngo,المنظمات غير الحكومية
personal review history,الشخصية استعراض التاريخ
test only topic,الاختبار الوحيد هذا الموضوع
coffee break,استراحة قهوة
performance topic,الأداء الموضوع
cad topic,كاد الموضوع
meeting room place,غرفة الاجتماعات مكان
textual review question,النصية مراجعة السؤال
accpet if room rating,اكبيت إن الغرفة تصنيف
cryptography topic,التشفير الموضوع
computer networks sensor topic,شبكات الكمبيوتر الاستشعار الموضوع
organizational meeting,الاجتماع التنظيمي
rated papers,تصنيف الأوراق
pending paper,في انتظار ورقة
tpc member,tpc الأعضاء
review rating,مراجعة تصنيف
accept rating,تقبل التقييم
computer networks aapplications topic,شبكات الكمبيوتر aapplications الموضوع
organization,المنظمة
security topic,أمن الموضوع
accepted paper,قبول الورق
meal event,وجبة الحدث
computer networks security topic,شبكات الكمبيوتر الأمن الموضوع
session chair,رئيس الجلسة
academic event,الحدث الأكاديمي
workshop,ورشة عمل
topic,الموضوع
antennas topic,هوائيات الموضوع
place,مكان
slide set,مجموعة الشرائح
medicine topic,طب الموضوع
reviewer,المراجع
mobile computing topic,الحوسبة المتنقلة الموضوع
social event,الحدث الاجتماعي
radio communications topic,الاتصالات اللاسلكية الموضوع
computer networks switching topic,شبكات الكمبيوتر تبديل الموضوع
reception,استقبال
computer networks optical topic,شبكات الكمبيوتر الضوئية الموضوع
person,الشخص
industry organization,منظمة صناعة
accommodation place,مكان الإقامة
conference chair,رئيس المؤتمر
computer networks topic,شبكات الكمبيوتر الموضوع
closing talk,إغلاق الحديث
author,الكاتب
computer architecture topic,هندسة الكمبيوتر الموضوع
document,الوثيقة
break event,كسر الحدث
